c6,2,,38.48,409.26,23,27176,C,1,0.24075,c6_frame_2_sec_2.00_composite.png
c6,3,,22.67,389.37,7,18770,C,0,0.19299,c6_frame_3_sec_3.00_composite.png
c6,4,,23.18,385.02,7,19457,C,0,0.1671,c6_frame_4_sec_4.00_composite.png
c6,5,,13.3,383.49,6,18174,C,0,0.0859,c6_frame_5_sec_5.00_composite.png
c6,6,,35.79,384.26,7,5517,P,1,0.16718,c6_frame_6_sec_6.00_composite.png
c6,7,,34.69,395.91,16,7299,P,1,0.15171,c6_frame_7_sec_7.00_composite.png
c6,8,,16.96,382.19,4,4258,P,1,0.11319,c6_frame_8_sec_8.00_composite.png
c6,9,,9.29,381.14,4,4225,P,1,0.06939,c6_frame_9_sec_9.00_composite.png
c6,10,,16.68,380.05,3,4267,P,1,0.09844,c6_frame_10_sec_10.00_composite.png
c7,0,,45.91,452.13,40,26113,C,1,0.31405,c7_frame_0_sec_0.00_composite.png
c7,1,,45.78,480.69,78,33800,C,2,0.31633,c7_frame_1_sec_1.00_composite.png
c7,2,,41.11,413.68,28,24691,C,1,0.30092,c7_frame_2_sec_2.00_composite.png
c7,3,,36.5,390.17,12,16888,C,0,0.30839,c7_frame_3_sec_3.00_composite.png
c7,4,,37.13,399.66,13,17758,C,1,0.29079,c7_frame_4_sec_4.00_composite.png
c7,5,,45.51,418.13,37,24088,C,1,0.27964,c7_frame_5_sec_5.00_composite.png
c7,6,,36.85,394.97,12,19642,C,1,0.2631,c7_frame_6_sec_6.00_composite.png
c7,7,,42.49,406.46,23,21430,C,1,0.26328,c7_frame_7_sec_7.00_composite.png
c7,8,,38.06,391.34,12,17648,C,0,0.26242,c7_frame_8_sec_8.00_composite.png
c7,9,,32.96,392.91,14,18268,C,1,0.27962,c7_frame_9_sec_9.00_composite.png
c7,10,,35.13,406.22,22,20009,C,1,0.29332,c7_frame_10_sec_10.00_composite.png
c8,0,,44.74,449.59,54,76673,C,2,0.03208,c8_frame_0_sec_0.00_composite.png
c8,1,,35.22,417.74,22,66512,C,1,0.0194,c8_frame_1_sec_1.00_composite.png
c8,2,,34.02,390.94,9,65246,C,0,0.02565,c8_frame_2_sec_2.00_composite.png
c8,3,,44.35,428.33,45,77310,C,2,0.03787,c8_frame_3_sec_3.00_composite.png
c8,4,,40.2,411.57,32,70427,C,1,0.0415,c8_frame_4_sec_4.00_composite.png
c8,5,,44.16,422.9,36,72322,C,1,0.05557,c8_frame_5_sec_5.00_composite.png
c8,6,,41.6,406.66,27,69987,C,2,0.05833,c8_frame_6_sec_6.00_composite.png
c8,7,,51.15,492.52,109,92786,C,2,0.06611,c8_frame_7_sec_7.00_composite.png
c8,8,,39.57,392.65,14,65476,C,1,0.06188,c8_frame_8_sec_8.00_composite.png
c8,9,,41.51,386.17,9,63875,C,0,0.07054,c8_frame_9_sec_9.00_composite.png
c8,10,,39.61,386.86,8,61767,C,0,0.06413,c8_frame_10_sec_10.00_composite.png
h1,0,,35.89,564.58,137,37552,C,2,0.31787,h1_frame_0_sec_0.00_composite.png
h1,1,,17.78,409.5,6,5670,C,0,0.19861,h1_frame_1_sec_1.00_composite.png
h1,2,,21.52,384.27,8,6266,C,0,0.17139,h1_frame_2_sec_2.00_composite.png
h1,3,,28.92,394.63,18,9666,C,2,0.18499,h1_frame_3_sec_3.00_composite.png
h1,4,,40.96,506.73,119,33546,C,3,0.18425,h1_frame_4_sec_4.00_composite.png
h1,5,,29.44,400.73,24,9262,C,2,0.18626,h1_frame_5_sec_5.00_composite.png
h1,6,,22.79,385.07,6,5518,C,1,0.158,h1_frame_6_sec_6.00_composite.png
h1,7,,11.9,383.02,7,5430,C,1,0.10705,h1_frame_7_sec_7.00_composite.png
h1,8,,40.43,502.46,115,29834,C,3,0.2085,h1_frame_8_sec_8.00_composite.png
h1,9,,35.94,468.12,82,22911,C,3,0.2636,h1_frame_9_sec_9.00_composite.png
h1,10,,33.74,463.0,81,22505,C,3,0.32159,h1_frame_10_sec_10.00_composite.png
h2,0,,6.82,393.63,4,3973,C,0,0.06355,h2_frame_0_sec_0.00_composite.png
h2,1,,39.96,548.57,144,35815,C,3,0.3099,h2_frame_1_sec_1.00_composite.png
h2,2,,27.89,387.81,8,4437,C,1,0.28111,h2_frame_2_sec_2.00_composite.png
h2,3,,42.81,562.65,170,39866,C,3,0.33303,h2_frame_3_sec_3.00_composite.png
h2,4,,29.93,389.92,11,5132,C,1,0.29823,h2_frame_4_sec_4.00_composite.png
h2,5,,44.42,540.54,146,36403,C,3,0.33229,h2_frame_5_sec_5.00_composite.png
h2,6,,33.44,410.5,34,9687,C,2,0.34331,h2_frame_6_sec_6.00_composite.png
h2,7,,33.55,446.39,61,14853,C,3,0.33698,h2_frame_7_sec_7.00_composite.png
h2,8,,27.02,394.26,13,5814,C,1,0.31096,h2_frame_8_sec_8.00_composite.png
h2,9,,37.17,441.59,64,16378,C,3,0.3293,h2_frame_9_sec_9.00_composite.png
h2,10,,17.17,382.28,5,3787,C,0,0.25044,h2_frame_10_sec_10.00_composite.png
h3,0,,38.48,499.61,86,39122,C,3,0.17166,h3_frame_0_sec_0.00_composite.png
h3,1,,56.59,1312.67,823,626691,C,3,0.27391,h3_frame_1_sec_1.00_composite.png
h3,2,,28.93,391.8,11,12115,C,1,0.06609,h3_frame_2_sec_2.00_composite.png
h3,3,,50.29,927.41,498,239982,C,3,0.21377,h3_frame_3_sec_3.00_composite.png
h3,4,,46.24,570.58,179,75646,C,2,0.18628,h3_frame_4_sec_4.00_composite.png
h3,5,,58.67,1253.45,790,693066,C,3,0.1274,h3_frame_5_sec_5.00_composite.png
h3,6,,27.53,419.1,36,22109,C,2,0.11443,h3_frame_6_sec_6.00_composite.png
h3,7,,40.28,620.82,221,87089,C,2,0.12735,h3_frame_7_sec_7.00_composite.png
h3,8,,26.78,400.11,23,16018,C,2,0.11246,h3_frame_8_sec_8.00_composite.png
h3,9,,33.17,456.8,69,28782,C,2,0.11723,h3_frame_9_sec_9.00_composite.png
h3,10,,24.28,393.01,14,11481,C,2,0.09672,h3_frame_10_sec_10.00_composite.png
h4,0,,42.38,734.06,304,110937,C,3,0.14387,h4_frame_0_sec_0.00_composite.png
